2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  8,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 921.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  7,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 920.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  6,25; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 919.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  6,24; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 918.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  6,23; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 917.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  5,23; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 916.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  5,22; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 915.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  5,21; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 914.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  4,21; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 913.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  3,21; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 912.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  2,21; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 911.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  1,21; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 910.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,20; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 909.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  1,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 908.0; Tile: ROAD
2019-10-17 19:45:56 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  2,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 907.0; Tile: ROAD
2019-10-17 19:45:57 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  3,19; Parcels:      0; Health: 200.0; Health Usage: 200.0; Fuel: 906.0; Tile: ROAD
